Block,Plot,Species,Plant,Seedunit_Infl,Seedno_seedunit,Totwht_Infl
1,6,Ab,a,17,2,NA
1,6,Ab,b,28,2,NA
1,6,Ab,c,40,2,NA
1,7,Ab,a,32,2,NA
1,7,Ab,b,15,2,NA
1,7,Ab,c,26,2,NA
1,204,Ab,a,57,2,NA
1,204,Ab,b,31,2,NA
1,204,Ab,c,45,2,NA
2,39,Ab,a,25,2,NA
2,39,Ab,b,30,2,NA
2,39,Ab,c,15,2,NA
2,41,Ab,a,20,2,NA
2,41,Ab,b,9,2,NA
2,41,Ab,c,1,2,NA
2,42,Ab,a,9,2,NA
3,61,Ab,a,7,2,NA
3,61,Ab,b,7,2,NA
3,61,Ab,c,13,2,NA
3,65,Ab,a,32,2,NA
3,65,Ab,b,7,2,NA
3,65,Ab,c,36,2,NA
4,89,Ab,a,29,2,NA
4,89,Ab,b,15,2,NA
4,89,Ab,c,20,2,NA
4,95,Ab,a,18,2,NA
4,95,Ab,b,7,2,NA
5,109,Ab,a,13,2,NA
5,109,Ab,b,24,2,NA
5,109,Ab,c,25,2,NA
5,111,Ab,a,7,2,NA
5,238,Ab,a,49,2,NA
5,238,Ab,b,34,2,NA
5,238,Ab,c,25,2,NA
1,3,Am,a,30,4,NA
1,3,Am,b,11,4,NA
1,3,Am,c,19,4,NA
1,6,Am,a,46,4,NA
1,6,Am,b,27,4,NA
1,6,Am,c,23,4,NA
1,201,Am,a,29,4,NA
1,201,Am,b,23,4,NA
1,201,Am,c,34,4,NA
2,42,Am,a,20,4,NA
2,42,Am,b,18,4,NA
2,42,Am,c,13,4,NA
2,44,Am,a,23,4,NA
2,44,Am,b,30,4,NA
2,44,Am,c,16,4,NA
2,214,Am,a,24,4,NA
2,214,Am,b,20,4,NA
2,214,Am,c,19,4,NA
3,61,Am,a,12,4,NA
3,61,Am,b,22,4,NA
3,61,Am,c,13,4,NA
3,64,Am,a,30,4,NA
3,64,Am,b,29,4,NA
3,64,Am,c,38,4,NA
3,222,Am,a,24,4,NA
3,222,Am,b,38,4,NA
3,222,Am,c,51,4,NA
4,86,Am,a,21,4,NA
4,86,Am,b,6,4,NA
4,86,Am,c,25,4,NA
4,91,Am,a,23,4,NA
4,91,Am,b,36,4,NA
4,91,Am,c,32,4,NA
5,111,Am,a,7,4,NA
5,111,Am,b,15,4,NA
5,111,Am,c,17,4,NA
5,120,Am,a,20,4,NA
5,237,Am,a,40,4,NA
5,237,Am,b,24,4,NA
5,237,Am,c,31,4,NA
1,1,Bh,a,NA,NA,0.5995
1,1,Bh,b,NA,NA,0.1518
1,1,Bh,c,NA,NA,0.1139
1,6,Bh,a,NA,NA,0.1995
1,6,Bh,b,NA,NA,0.1976
1,6,Bh,c,NA,NA,0.3582
1,7,Bh,a,NA,NA,0.4579
1,7,Bh,b,NA,NA,0.1962
1,7,Bh,c,NA,NA,0.1329
2,40,Bh,a,NA,NA,0.1724
2,40,Bh,b,NA,NA,0.2778
2,40,Bh,c,NA,NA,0.1378
2,41,Bh,a,NA,NA,0.1596
2,41,Bh,b,NA,NA,0.1008
2,41,Bh,c,NA,NA,0.0376
2,42,Bh,a,NA,NA,0.2893
2,42,Bh,b,NA,NA,0.4913
2,42,Bh,c,NA,NA,0.2621
3,61,Bh,a,NA,NA,0.3381
3,61,Bh,b,NA,NA,0.3069
3,61,Bh,c,NA,NA,0.2995
3,66,Bh,a,NA,NA,0.2624
3,66,Bh,b,NA,NA,0.2294
3,66,Bh,c,NA,NA,0.1225
3,69,Bh,a,NA,NA,0.1952
3,69,Bh,b,NA,NA,0.266
3,69,Bh,c,NA,NA,0.2189
4,86,Bh,a,NA,NA,0.0726
4,86,Bh,b,NA,NA,0.2713
4,86,Bh,c,NA,NA,0.071
4,88,Bh,a,NA,NA,0.1274
4,88,Bh,b,NA,NA,0.2977
4,88,Bh,c,NA,NA,0.2358
4,90,Bh,a,NA,NA,0.452
4,90,Bh,b,NA,NA,0.1403
4,90,Bh,c,NA,NA,0.1
4,95,Bh,a,NA,NA,0.1916
4,95,Bh,b,NA,NA,0.4288
4,95,Bh,c,NA,NA,0.1849
5,109,Bh,a,NA,NA,0.4324
5,109,Bh,b,NA,NA,0.3305
5,109,Bh,c,NA,NA,0.1802
5,111,Bh,a,NA,NA,0.1818
5,111,Bh,b,NA,NA,0.1035
5,111,Bh,c,NA,NA,0.0708
5,112,Bh,a,NA,NA,0.2598
5,112,Bh,b,NA,NA,0.0793
5,112,Bh,c,NA,NA,0.087
1,3,Cc,a,9,19.8,NA
1,3,Cc,b,11,19.8,NA
1,3,Cc,c,4,19.8,NA
1,6,Cc,a,9,19.8,NA
1,6,Cc,b,4,19.8,NA
1,6,Cc,c,3,19.8,NA
1,11,Cc,a,11,19.8,NA
1,11,Cc,b,7,19.8,NA
1,11,Cc,c,3,19.8,NA
2,42,Cc,a,5,19.8,NA
2,42,Cc,b,3,19.8,NA
2,44,Cc,a,7,19.8,NA
2,44,Cc,b,4,19.8,NA
2,44,Cc,c,7,19.8,NA
2,216,Cc,a,10,19.8,NA
2,216,Cc,b,5,19.8,NA
2,216,Cc,c,6,19.8,NA
3,61,Cc,a,4,19.8,NA
3,61,Cc,b,6,19.8,NA
3,61,Cc,c,3,19.8,NA
3,64,Cc,a,9,19.8,NA
3,64,Cc,b,11,19.8,NA
3,64,Cc,c,7,19.8,NA
3,68,Cc,a,8,19.8,NA
3,68,Cc,b,9,19.8,NA
3,68,Cc,c,8,19.8,NA
4,85,Cc,a,12,19.8,NA
4,85,Cc,b,7,19.8,NA
4,85,Cc,c,8,19.8,NA
4,86,Cc,a,4,19.8,NA
4,86,Cc,b,5,19.8,NA
4,86,Cc,c,3,19.8,NA
4,88,Cc,a,7,19.8,NA
4,88,Cc,b,6,19.8,NA
4,88,Cc,c,6,19.8,NA
5,111,Cc,a,5,19.8,NA
5,111,Cc,b,5,19.8,NA
5,111,Cc,c,7,19.8,NA
5,114,Cc,a,5,19.8,NA
5,114,Cc,b,9,19.8,NA
5,114,Cc,c,7,19.8,NA
5,120,Cc,a,5,19.8,NA
5,120,Cc,b,4,19.8,NA
5,120,Cc,c,4,19.8,NA
1,3,Cp,a,69,39,0.0192
1,3,Cp,b,53,26,0.0160
1,3,Cp,c,NA,23,0.0210
1,6,Cp,a,46,38,0.0107
1,6,Cp,b,NA,21,0.0088
1,6,Cp,c,NA,55,0.0180
1,203,Cp,a,45,20,0.0129
1,203,Cp,b,NA,14,0.0082
1,203,Cp,c,NA,9,0.0181
2,42,Cp,a,52,26,0.0167
2,42,Cp,b,NA,27,0.0112
2,42,Cp,c,NA,11,0.0138
2,44,Cp,a,48,38,0.0147
2,44,Cp,b,NA,12,0.0243
2,44,Cp,c,NA,26,0.0122
2,213,Cp,a,27,37,0.0158
2,213,Cp,b,NA,13,0.0255
2,213,Cp,c,NA,19,0.0168
3,61,Cp,a,67,33,0.0266
3,61,Cp,b,NA,19,0.0088
3,61,Cp,c,NA,9,0.0176
3,64,Cp,a,38,29,0.0145
3,64,Cp,b,NA,24,0.0157
3,64,Cp,c,NA,18,0.0175
3,221,Cp,a,44,19,0.0182
3,221,Cp,b,NA,15,0.0142
3,221,Cp,c,NA,22,0.0166
4,86,Cp,a,30,5,0.0105
4,86,Cp,b,NA,25,0.0080
4,86,Cp,c,NA,14,0.0084
4,88,Cp,a,53,37,0.0201
4,88,Cp,b,NA,17,0.0159
4,88,Cp,c,NA,14,0.0130
4,229,Cp,a,51,33,0.0182
4,229,Cp,b,NA,13,0.0140
4,229,Cp,c,NA,37,0.0217
5,111,Cp,a,45,18,0.0154
5,111,Cp,b,NA,8,0.0087
5,111,Cp,c,NA,8,0.0215
5,120,Cp,a,30,41,0.0096
5,120,Cp,b,70,7,0.0226
5,120,Cp,c,NA,19,0.0162
5,240,Cp,a,63,22,0.0212
5,240,Cp,b,NA,11,0.0178
5,240,Cp,c,NA,14,0.0084
1,6,Hm,a,NA,NA,0.0691
1,6,Hm,b,NA,NA,0.0758
1,6,Hm,c,NA,NA,0.0618
1,7,Hm,a,NA,NA,0.2053
1,7,Hm,b,NA,NA,0.1772
1,7,Hm,c,NA,NA,0.1381
1,202,Hm,a,NA,NA,0.1835
1,202,Hm,b,NA,NA,0.2032
1,202,Hm,c,NA,NA,0.1808
2,41,Hm,a,NA,NA,0.1506
2,41,Hm,b,NA,NA,0.1495
2,41,Hm,c,NA,NA,0.1413
2,42,Hm,a,NA,NA,0.152
2,42,Hm,b,NA,NA,0.0841
2,42,Hm,c,NA,NA,0.2968
2,45,Hm,a,NA,NA,0.2157
2,45,Hm,b,NA,NA,0.1516
2,45,Hm,c,NA,NA,0.0943
3,61,Hm,a,NA,NA,0.0839
3,67,Hm,a,NA,NA,0.1928
3,67,Hm,b,NA,NA,0.1606
3,67,Hm,c,NA,NA,0.1923
3,69,Hm,a,NA,NA,0.1756
3,69,Hm,b,NA,NA,0.2022
3,69,Hm,c,NA,NA,0.169
4,86,Hm,a,NA,NA,0.0863
4,86,Hm,b,NA,NA,0.1783
4,86,Hm,c,NA,NA,0.2481
4,88,Hm,a,NA,NA,0.1087
4,88,Hm,b,NA,NA,0.1148
4,88,Hm,c,NA,NA,0.1333
4,95,Hm,a,NA,NA,0.1067
4,95,Hm,b,NA,NA,0.1475
4,95,Hm,c,NA,NA,0.1676
4,230,Hm,a,NA,NA,0.1749
4,230,Hm,b,NA,NA,0.2157
4,230,Hm,c,NA,NA,0.2085
5,109,Hm,b,NA,NA,0.1298
5,109,Hm,c,NA,NA,0.0975
5,111,Hm,a,NA,NA,0.083
5,111,Hm,b,NA,NA,0.0999
5,111,Hm,c,NA,NA,0.0435
5,118,Hm,a,NA,NA,0.1911
5,118,Hm,b,NA,NA,0.1094
5,118,Hm,c,NA,NA,0.1599
1,6,La,b,NA,NA,0.0353
1,6,La,a,NA,NA,0.0321
1,6,La,c,NA,NA,0.0739
1,7,La,a,NA,NA,0.0416
1,7,La,b,NA,NA,0.0423
1,7,La,c,NA,NA,0.0907
2,37,La,a,NA,NA,0.0883
2,37,La,b,NA,NA,0.1605
2,37,La,c,NA,NA,0.1133
2,41,La,a,NA,NA,0.0343
2,41,La,b,NA,NA,0.0342
2,41,La,c,NA,NA,0.0214
2,42,La,a,NA,NA,0.0257
2,42,La,b,NA,NA,0.0336
2,42,La,c,NA,NA,0.0514
3,61,La,a,NA,NA,0.0164
3,61,La,b,NA,NA,0.0455
3,61,La,c,NA,NA,0.0261
3,69,La,a,NA,NA,0.0542
3,69,La,b,NA,NA,0.0558
3,69,La,c,NA,NA,0.0439
3,223,La,a,NA,NA,0.1255
3,223,La,b,NA,NA,0.1391
3,223,La,c,NA,NA,0.1105
4,88,La,a,NA,NA,0.0117
4,88,La,b,NA,NA,0.0140
4,88,La,c,NA,NA,0.0049
4,95,La,a,NA,NA,0.0185
4,95,La,b,NA,NA,0.0177
4,95,La,c,NA,NA,0.0130
4,232,La,a,NA,NA,0.1153
4,232,La,b,NA,NA,0.0583
4,232,La,c,NA,NA,0.1192
5,109,La,a,NA,NA,0.0505
5,109,La,b,NA,NA,0.0399
5,109,La,c,NA,NA,0.0284
5,111,La,a,NA,NA,0.0229
5,111,La,b,NA,NA,0.0258
5,111,La,c,NA,NA,0.0081
5,119,La,a,NA,NA,0.0626
5,119,La,b,NA,NA,0.0848
5,119,La,c,NA,NA,0.0884
1,6,Pm,a,NA,NA,0.0368
1,6,Pm,b,NA,NA,0.1215
1,6,Pm,c,NA,NA,0.1337
1,7,Pm,a,NA,NA,0.0135
1,7,Pm,b,NA,NA,0.1162
1,7,Pm,c,NA,NA,0.0259
1,9,Pm,a,NA,NA,0.3659
1,9,Pm,b,NA,NA,0.2950
1,9,Pm,c,NA,NA,0.3833
2,41,Pm,a,NA,NA,0.0116
2,41,Pm,b,NA,NA,0.0376
2,42,Pm,a,NA,NA,0.0352
2,42,Pm,b,NA,NA,0.0331
2,215,Pm,a,NA,NA,0.0640
2,215,Pm,b,NA,NA,0.3471
2,215,Pm,c,NA,NA,0.0600
3,61,Pm,a,NA,NA,0.0090
3,61,Pm,b,NA,NA,0.0963
3,61,Pm,c,NA,NA,0.0257
3,69,Pm,a,NA,NA,0.0198
3,224,Pm,a,NA,NA,0.1006
3,224,Pm,b,NA,NA,0.0573
3,224,Pm,c,NA,NA,0.3112
4,88,Pm,a,NA,NA,0.0305
4,231,Pm,a,NA,NA,0.1957
4,231,Pm,b,NA,NA,0.5928
4,231,Pm,c,NA,NA,0.1102
5,109,Pm,a,NA,NA,0.0081
5,109,Pm,b,NA,NA,0.0046
5,109,Pm,c,NA,NA,0.0057
5,239,Pm,a,NA,NA,0.3322
5,239,Pm,b,NA,NA,0.1318
5,239,Pm,c,NA,NA,0.1553
1,3,Vmi,a,NA,NA,0.0329
1,3,Vmi,b,NA,NA,0.0315
1,3,Vmi,c,NA,NA,0.0239
1,5,Vmi,a,NA,NA,0.0372
1,5,Vmi,b,NA,NA,0.0578
1,5,Vmi,c,NA,NA,0.0824
1,6,Vmi,a,NA,NA,0.0299
1,6,Vmi,b,NA,NA,0.0902
1,6,Vmi,c,NA,NA,0.0346
2,42,Vmi,a,NA,NA,0.0354
2,42,Vmi,b,NA,NA,0.0287
2,42,Vmi,c,NA,NA,0.0358
2,44,Vmi,a,NA,NA,0.0236
2,44,Vmi,b,NA,NA,0.0251
2,44,Vmi,c,NA,NA,0.0620
2,46,Vmi,a,NA,NA,0.0532
2,46,Vmi,b,NA,NA,0.0269
2,46,Vmi,c,NA,NA,0.0517
3,61,Vmi,a,NA,NA,0.0248
3,61,Vmi,b,NA,NA,0.0600
3,61,Vmi,c,NA,NA,0.0313
3,63,Vmi,a,NA,NA,0.0315
3,63,Vmi,b,NA,NA,0.0283
3,63,Vmi,c,NA,NA,0.0409
3,64,Vmi,a,NA,NA,0.0326
3,64,Vmi,b,NA,NA,0.0305
3,64,Vmi,c,NA,NA,0.0529
3,71,Vmi,a,NA,NA,0.0881
3,71,Vmi,b,NA,NA,0.0831
3,71,Vmi,c,NA,NA,0.1154
4,86,Vmi,a,NA,NA,0.0391
4,86,Vmi,b,NA,NA,0.0570
4,86,Vmi,c,NA,NA,0.0303
4,88,Vmi,a,NA,NA,0.0355
4,88,Vmi,b,NA,NA,0.0454
4,88,Vmi,c,NA,NA,0.0866
4,96,Vmi,a,NA,NA,0.0840
4,96,Vmi,b,NA,NA,0.0673
4,96,Vmi,c,NA,NA,0.0469
5,111,Vmi,a,NA,NA,0.0211
5,111,Vmi,b,NA,NA,0.0198
5,111,Vmi,c,NA,NA,0.0708
5,113,Vmi,a,NA,NA,0.0486
5,113,Vmi,b,NA,NA,0.0503
5,113,Vmi,c,NA,NA,0.0305
5,120,Vmi,a,NA,NA,0.0359
5,120,Vmi,b,NA,NA,0.0213
5,120,Vmi,c,NA,NA,0.0473
1,6,Vmy,a,NA,NA,0.0755
1,6,Vmy,b,NA,NA,0.0827
1,6,Vmy,c,NA,NA,0.0528
1,7,Vmy,a,NA,NA,0.0193
1,7,Vmy,b,NA,NA,0.0395
1,7,Vmy,c,NA,NA,0.0789
1,8,Vmy,a,NA,NA,0.0967
1,8,Vmy,b,NA,NA,0.0563
1,8,Vmy,c,NA,NA,0.0823
2,41,Vmy,a,NA,NA,0.0430
2,41,Vmy,b,NA,NA,0.0323
2,41,Vmy,c,NA,NA,0.0468
2,42,Vmy,a,NA,NA,0.0314
2,42,Vmy,b,NA,NA,0.0519
2,42,Vmy,c,NA,NA,0.0343
2,48,Vmy,a,NA,NA,0.0570
2,48,Vmy,b,NA,NA,0.0251
2,48,Vmy,c,NA,NA,0.0336
3,61,Vmy,a,NA,NA,0.0383
3,61,Vmy,b,NA,NA,0.0479
3,61,Vmy,c,NA,NA,0.0297
3,69,Vmy,a,NA,NA,0.0287
3,69,Vmy,b,NA,NA,0.0338
3,69,Vmy,c,NA,NA,0.0423
3,71,Vmy,a,NA,NA,0.0473
3,71,Vmy,b,NA,NA,0.0493
3,71,Vmy,c,NA,NA,0.0489
4,87,Vmy,a,NA,NA,0.0455
4,87,Vmy,b,NA,NA,0.0662
4,87,Vmy,c,NA,NA,0.0717
4,88,Vmy,a,NA,NA,0.0522
4,88,Vmy,b,NA,NA,0.0314
4,88,Vmy,c,NA,NA,0.0415
4,95,Vmy,a,NA,NA,0.0382
4,95,Vmy,b,NA,NA,0.0212
4,95,Vmy,c,NA,NA,0.0525
5,109,Vmy,a,NA,NA,0.0316
5,109,Vmy,b,NA,NA,0.1042
5,109,Vmy,c,NA,NA,0.0688
5,111,Vmy,a,NA,NA,0.0167
5,111,Vmy,b,NA,NA,0.0304
5,111,Vmy,c,NA,NA,0.0088
5,116,Vmy,a,NA,NA,0.0351
5,116,Vmy,b,NA,NA,0.0307
5,116,Vmy,c,NA,NA,0.0366
1,3,Vo,a,NA,NA,0.0054
1,3,Vo,b,NA,NA,0.0087
1,3,Vo,c,NA,NA,0.0103
1,6,Vo,a,NA,NA,0.0069
1,6,Vo,b,NA,NA,0.0104
1,6,Vo,c,NA,NA,0.0040
1,12,Vo,a,NA,NA,0.0194
1,12,Vo,b,NA,NA,0.0223
1,12,Vo,c,NA,NA,0.0234
2,42,Vo,a,NA,NA,0.0047
2,42,Vo,b,NA,NA,0.0017
2,42,Vo,c,NA,NA,0.0028
2,43,Vo,a,NA,NA,0.0237
2,43,Vo,b,NA,NA,0.0178
2,43,Vo,c,NA,NA,0.0258
2,44,Vo,a,NA,NA,0.0084
2,44,Vo,b,NA,NA,0.0044
2,44,Vo,c,NA,NA,0.0046
3,61,Vo,a,NA,NA,0.0056
3,61,Vo,b,NA,NA,0.0053
3,61,Vo,c,NA,NA,0.0082
3,62,Vo,a,NA,NA,0.0337
3,62,Vo,b,NA,NA,0.0409
3,62,Vo,c,NA,NA,0.0341
3,64,Vo,a,NA,NA,0.0044
3,64,Vo,b,NA,NA,0.0068
3,64,Vo,c,NA,NA,0.0037
4,86,Vo,a,NA,NA,0.0175
4,86,Vo,b,NA,NA,0.0090
4,86,Vo,c,NA,NA,0.0109
4,88,Vo,a,NA,NA,0.0054
4,88,Vo,b,NA,NA,0.0068
4,88,Vo,c,NA,NA,0.0055
4,94,Vo,a,NA,NA,0.0156
4,94,Vo,b,NA,NA,0.0156
4,94,Vo,c,NA,NA,0.0309
5,111,Vo,a,NA,NA,0.0069
5,111,Vo,b,NA,NA,0.0081
5,111,Vo,c,NA,NA,0.0090
5,115,Vo,a,NA,NA,0.0142
5,115,Vo,b,NA,NA,0.0300
5,115,Vo,c,NA,NA,0.0154
5,120,Vo,a,NA,NA,0.0184
5,120,Vo,b,NA,NA,0.0056
5,120,Vo,c,NA,NA,0.0045
